replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,7.4690857,7.457415,-2.6582556,0.00022250324,0.0012276459,0.0033344137,-0.0024971887,0.0023718658,0.0017496895,0.0057587232,-0.0012962215,2.6981773,0.43627256,3.5339603,1.6206894,-2.658127,0.43129638,-1.7694824,-3.585671,0.000244384,0.002351326,0.003088397,-0.0043731644,0.00053896464,0.0011226209,0.0024613112,-0.002106055,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.024783145606699482,0.03909321146485455,0.3002857424253875,2.211628788008192e-05,12.391572803349735,12.443673860414549,31.82138654486567,1.1637465783926195,0.0023032853,0.62583745,0.998981,-0.9996251,5,12.391572803349735,2500,5,500.0,0.0,500,500,0.006150335920378229,0.002000412448903553,0.009895503375746035,0.003172568470843166,3.075167960189115,0.9756060814354415,4.49203248864949,1.7888189472133675,3.075167960189115,0.9756060814354415,4.49203248864949,1.7888189472133675,-0.0002470062,0.001967462,0.0017988753,-0.0039564637,5,3.075167960189115,0.0531510803848505,216.6994191892445,211.01523278839886,0.035047706216573715,0.02345895953476429,1749.3482222501189,2177.1745319738984,2465.56008692272,0
8300,0.0069803013,0.0068406393,-4.453622,1.7259109,0.04491862,1.8783547,1.6263963,1.7252245,0.04547073,1.8829616,1.6311475,1.7277555,0.091516435,2.0352092,1.5573457,-2.7316194,0.30831456,-2.2996802,-4.545829,-0.007559442,0.009776129,0.0105029065,-0.033566367,-0.129371,0.015198091,-0.10146895,-0.1927936,0.36739084124565125,-6.733829975128174,8300,17,500.0,0.0,500,500,0.03346435745833804,0.03392223627230047,0.15515051966858273,0.00022238889894119236,16.73217872916903,12.455747252503619,33.44389493718008,3.2763459357844975,-0.0045349137,0.5882794,0.9987543,-0.9984664,5,16.73217872916903,5000,10,500.0,0.0,500,500,0.0031353552056242015,0.002015845041894097,0.00921111617331712,0.0005874585170453607,1.5676776028121013,0.5274419771476065,2.4842040047552776,1.0190856118300156,1.5676776028121013,0.5274419771476065,2.4842040047552776,1.0190856118300156,-0.010293532,0.011591507,0.0042325007,-0.03118571,5,1.5676776028121013,0.01750791072845459,103.23745349049568,86.03117224015296,0.02312445640563965,0.18099959380924702,674.0546946413815,863.5449523329735,3329.114991735667,1
10800,0.001397831,0.0012804086,-4.371745,1.6343975,0.06898781,1.8064438,1.5200957,1.631737,0.07237624,1.8176916,1.503004,1.631715,0.08196086,1.8718468,1.4853414,-2.7442777,0.23114048,-2.199388,-3.9580367,-0.00090473995,0.010438381,0.019551642,-0.013951533,-0.13185763,0.010885658,-0.111359686,-0.16539867,0.13513216376304626,-13.491942405700684,10800,22,500.0,0.0,500,500,0.028306168456282546,0.025731136956037945,0.14050277262164865,0.0004750694162396978,14.153084228141278,7.640292952388871,25.37402380157711,4.626140353251127,0.00407263,0.5905036,0.99849474,-0.99698347,5,14.153084228141278,7500,15,500.0,0.0,500,500,0.007219160521012215,0.0019795898479094682,0.010950218505998914,0.0043107844698883685,3.6095802605061076,0.9519066085368082,4.888143448307689,2.3962434529269494,3.6095802605061076,0.9519066085368082,4.888143448307689,2.3962434529269494,-0.002621961,0.009321892,0.013808984,-0.011689512,5,3.6095802605061076,0.042151786386966705,120.53245598450303,88.02724147588015,0.02234853431582451,0.005698367953300476,815.6334946639836,1024.2633908130229,4353.382618205622,2
13300,0.0005441271,0.00047537358,-4.358059,1.6532774,0.09115298,1.9224014,1.4778014,1.6505778,0.091651924,1.9263959,1.471613,1.6503553,0.09776901,1.9395045,1.4933336,-2.7113972,0.27439877,-2.0560248,-4.4149666,-0.0068723178,0.029137626,0.04193993,-0.05945546,-0.12705289,0.0067466213,-0.109919325,-0.15236679,0.04971781745553017,-20.13681983947754,13300,27,500.0,0.0,500,500,0.056314838620783327,0.044931745251814016,0.20864139075858082,0.0010241936709603926,28.157419310391674,6.282636661218979,35.24103617012549,18.764808402687514,-0.005044351,0.5929445,0.99757606,-0.99612576,5,28.157419310391674,10000,20,500.0,0.0,500,500,0.04177449411628085,0.02841578478483272,0.09769293672849194,0.004001387769606297,20.88724705814043,8.864401000325607,33.11481343386754,11.729619107692432,20.88724705814043,8.864401000325607,33.11481343386754,11.729619107692432,-0.006127842,0.025681423,0.02433456,-0.049684692,5,20.88724705814043,0.02274486795067787,103.3226664531976,91.31638591736555,0.02273493818938732,0.006104934960603714,788.1233750935644,982.8140122052282,5336.200868597254,3
15800,0.00095253816,0.00092054537,-4.381754,1.6717408,0.13760759,2.0051033,1.4309871,1.6753864,0.13939649,1.9933892,1.4205889,1.6719314,0.145311,2.0311441,1.437062,-2.7130027,0.29583946,-1.9159448,-3.400434,-0.045654554,0.082826875,0.22397539,-0.21858779,-0.113420725,0.014393624,-0.080415875,-0.15004991,0.018310600891709328,-26.847158432006836,15800,32,500.0,0.0,500,500,0.06511747618844085,0.0649951117181582,0.2847321427572003,0.004344845930482282,32.55873809422042,22.862095480993066,58.09711756074271,5.011784237145465,-0.031011963,0.59167516,0.99542385,-0.9980751,5,32.55873809422042,12500,25,500.0,0.0,500,500,0.03663465339809968,0.014185589909726177,0.05940107978374273,0.00439732221349197,18.31732669904985,5.29537100370215,24.83800809006194,13.241633824328732,18.31732669904985,5.29537100370215,24.83800809006194,13.241633824328732,-0.035142165,0.055027343,0.076720655,-0.16585732,5,18.31732669904985,0.022796915844082832,104.13220342807472,90.53019209392369,0.022873936221003532,0.005921304225921631,832.3655958864838,1027.0795835647732,6363.285184787586,4
18300,0.0017912732,0.0013827714,-3.9261746,1.7235737,0.21263939,2.514894,1.4474673,1.7326479,0.21132585,2.4856312,1.436057,1.7223359,0.19714983,2.2824447,1.4517463,-2.1996453,0.9120208,-0.2612059,-4.211777,-0.1181163,0.41163924,1.2359562,-0.96292573,-0.14936188,0.07741205,0.013384111,-0.40016454,0.006875498220324516,-30.86711311340332,18300,37,500.0,0.0,500,500,0.13854963764385042,0.06624250918351217,0.38013634467749297,0.0057974325654027836,69.27481882192524,23.871238484526557,115.00571766906009,47.582943892668126,-0.11654942,0.5925633,0.9966627,-0.99776065,5,69.27481882192524,15000,30,500.0,0.0,500,500,0.08004951020927047,0.06468308322115301,0.3295104319728306,0.0036001836267283887,40.02475510463523,28.575246969951287,96.07043189287063,15.705617452865656,40.02475510463523,28.575246969951287,96.07043189287063,15.705617452865656,-0.13266657,0.22777462,0.4898494,-0.77817947,5,40.02475510463523,0.026479775086045265,110.13508207723498,98.36133482120931,0.023183487355709076,0.005627389997243881,951.6523099094629,1160.2040174603462,7523.492316620424,5
20800,0.0020073797,0.0036578467,-2.0872447,1.8801291,0.32781908,2.713049,1.4373075,1.8857934,0.33856508,2.8017735,1.4366494,1.8611779,0.32026422,2.6659756,1.4364417,-0.19301745,1.7680795,4.5199876,-4.49845,-0.35053867,0.9039846,1.826458,-1.7793778,-0.2932974,0.16894148,0.10566595,-0.7025965,0.0029211225919425488,-24.46651840209961,20800,42,500.0,0.0,500,500,0.21915359402299897,0.08971102112011763,0.35402781946141476,0.00497625953394159,109.57679701149945,38.42294889087883,148.43121921633286,57.68351943012537,-0.3273532,0.5663665,0.99496496,-0.99909824,5,109.57679701149945,17500,35,500.0,0.0,500,500,0.15735121762935564,0.04755599761208673,0.25810017303407057,0.005376476479175718,78.67560881467787,20.3074824805834,110.63642213685146,50.138916097739724,78.67560881467787,20.3074824805834,110.63642213685146,50.138916097739724,-0.3653018,0.4249926,0.94623667,-0.976135,5,78.67560881467787,0.026390912011265755,100.45648118294775,118.4366918746382,0.021789463236927986,0.005672823637723923,582.7576515674591,801.704677823931,8325.201093517244,6
23300,0.0011703307,0.00092341687,0.123518065,1.9772152,0.3944132,2.8686247,1.420375,1.9820256,0.4012942,2.87619,1.4260025,1.9986391,0.4045104,2.8939967,1.4364039,2.126075,2.6961107,7.978111,-4.7982106,-0.39195758,1.2668096,2.4325726,-2.4240036,-0.45604986,0.20944437,0.018035933,-0.97087514,0.0015565649373456836,-12.114566802978516,23300,47,500.0,0.0,500,500,0.2515730460036683,0.06048863335293434,0.40825328521121906,0.004257634852513971,125.78652300183417,22.746378125161463,157.27327349349056,89.8761568689921,-0.28818494,0.5672678,0.99728155,-0.9994476,5,125.78652300183417,20000,40,500.0,0.0,500,500,0.23389618573694515,0.05354050343548994,0.3868923074933836,0.004184556126447722,116.94809286847263,18.970621377992313,135.52465362059598,81.0537793457974,116.94809286847263,18.970621377992313,135.52465362059598,81.0537793457974,-0.27867228,0.39453378,0.9808124,-0.9976385,5,116.94809286847263,0.02519562467932701,93.59921198710799,132.3167192004621,0.019600018858909607,0.005534207448363304,168.60597774013877,394.57223877869546,8719.776793595403,7
25800,0.0005641402,0.0005429558,0.6518761,2.17011,0.5536534,3.1364079,1.4094934,2.1632938,0.5463253,3.1430433,1.4227738,2.1682825,0.5522452,3.1327963,1.406961,2.838782,2.8438768,11.282886,-3.1728363,-0.24161403,1.3628305,2.6869535,-2.7407515,-0.57420814,0.3099655,0.25178412,-1.6931627,0.0011008578585460782,-7.909576416015625,25800,52,500.0,0.0,500,500,0.22550781304059228,0.07152794487471759,0.46673083192863507,0.004370418493619571,112.75390652029618,28.936487266909566,161.07551778658762,71.3602606138654,-0.20351401,0.63826376,0.99903804,-0.9997138,5,112.75390652029618,22500,45,500.0,0.0,500,500,0.22774643835092903,0.0911807451402423,0.4057358285177982,0.0036990319663669563,113.87321917546444,41.89367035548888,159.42481102116565,46.65637481609549,113.87321917546444,41.89367035548888,159.42481102116565,46.65637481609549,-0.12539625,0.5710609,0.9769327,-0.9978032,5,113.87321917546444,0.025488223880529404,102.11368194967508,128.36466669477522,0.020980745553970337,0.0056368764489889145,130.14055712148547,360.67101161181927,9080.451344093308,8
28300,0.0011472437,0.0008566209,1.998228,2.3246927,0.6108258,3.459252,1.3693883,2.3246055,0.59778404,3.467193,1.3708056,2.330535,0.6057324,3.4504461,1.3826113,4.3424296,3.4405196,13.059881,-3.6330643,-0.44023663,1.5373244,2.9465847,-2.9093904,-0.71549046,0.3836426,0.16014029,-2.0676618,0.0009598021279089153,2.3795480728149414,28300,57,500.0,0.0,500,500,0.2683157724185366,0.04531975448165785,0.43745669172935725,0.004207419403343682,134.15788620926833,10.531469554765,148.3407787442707,122.96713917998967,-0.26252386,0.56266016,0.9992616,-0.9996229,5,134.15788620926833,25000,50,500.0,0.0,500,500,0.23159465986922878,0.056764671429607005,0.37549721720220025,0.005252973350544001,115.79732993461437,22.669571395916893,140.8302224425349,78.08954245238378,115.79732993461437,22.669571395916893,140.8302224425349,78.08954245238378,-0.28403375,0.44358733,0.99255955,-0.99854195,5,115.79732993461437,0.02406512387096882,125.78836900368333,111.91101213172078,0.022203072905540466,0.005956977605819702,128.11163439787924,365.8632407076657,9446.318017341197,9
