replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,21.761269,21.761578,-4.7046123,0.0073806075,0.001218064,0.010264197,0.004416587,0.007349897,0.0010653208,0.009530544,0.0048966613,4.637249,0.5706668,5.8909397,2.5646207,-4.6978264,0.53307134,-3.3000839,-5.939714,-0.00047564422,0.001310629,0.0025751821,-0.0029906766,0.00091512775,0.0008893899,0.0029033246,-0.0020216836,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.006673557437657105,0.019353088580911674,0.1609270161619605,6.028381266768671e-07,3.3367787188285534,4.763134653408504,12.758610320581035,0.1338564454034098,0.009577796,0.6251185,0.9986291,-0.9996325,5,3.3367787188285534,2500,5,500.0,0.0,500,500,0.012536277379641886,0.0028119832672298846,0.015092573907854234,0.007829527101145237,6.268138689820946,1.4039615442295976,7.528225553369711,4.112589978289638,6.268138689820946,1.4039615442295976,7.528225553369711,4.112589978289638,-0.00033311194,0.0012917863,0.0019109321,-0.0020941438,5,6.268138689820946,0.026634853333234787,76.25752733834088,77.03480917215347,0.025921359658241272,0.008454808965325356,1031.9523009005934,1185.3056484330446,1294.2563259284943,0
8300,0.0143739935,0.014272756,-7.623273,2.8728945,0.03977677,2.9649613,2.7548625,2.8690958,0.042726424,2.9706903,2.7251072,2.8805666,0.11996298,3.4011896,2.6161265,-4.7611885,0.3189316,-4.0523167,-6.1574087,-0.0010605254,0.0068285656,0.011506313,-0.0121643,-0.112551875,0.013140183,-0.08153101,-0.15676497,0.367424875497818,-11.763957023620605,8300,17,500.0,0.0,500,500,0.019557320476448793,0.044009435487437194,0.2916507875414206,3.0567308433069068e-06,9.7786602382244,15.447038920678798,40.5488676340135,0.45919380858738384,-0.012549527,0.5918998,0.99953187,-0.9980535,5,9.7786602382244,5000,10,500.0,0.0,500,500,0.005766596362905869,0.0032298502115101057,0.01421154931434539,0.0012003570354944691,2.883298181452934,0.8465813552891157,3.7941657318259576,1.8040118042082485,2.883298181452934,0.8465813552891157,3.7941657318259576,1.8040118042082485,-0.00022056629,0.006516277,0.010071287,-0.009567644,5,2.883298181452934,0.026337334886193275,74.76512594893575,75.75855481997132,0.021833768114447594,0.005841843783855438,1079.1221118252724,1229.699805540964,2523.960093792528,1
10800,0.002312477,0.002231734,-7.372002,2.6385255,0.044274714,2.865072,2.5234513,2.6424832,0.043937117,2.8527246,2.5312943,2.6453967,0.055045653,2.888416,2.4902956,-4.7376566,0.29688162,-4.070652,-5.6169868,0.0062965653,0.005825086,0.020924926,-0.0046863025,-0.11540097,0.0074960506,-0.09361857,-0.13545048,0.13516585528850555,-23.478288650512695,10800,22,500.0,0.0,500,500,0.013781756794901677,0.026445322725530854,0.21820281540152592,1.746956554724319e-07,6.890878397450838,7.6941235344297825,20.165311483268844,0.9020667942123956,0.002528621,0.5923496,0.99818087,-0.99885297,5,6.890878397450838,7500,15,500.0,0.0,500,500,0.009149338939723447,0.00203212740448454,0.01220554832440568,0.004453067047425652,4.574669469861722,0.587782581637628,5.333565117685136,3.8032495520452327,4.574669469861722,0.587782581637628,5.333565117685136,3.8032495520452327,0.0065409713,0.0057727513,0.017567798,-9.558478e-05,5,4.574669469861722,0.02529139444231987,73.07254126109183,76.38195268623531,0.020480221137404442,0.005976229906082153,1073.3965703882277,1222.9028121810406,3746.867300339043,2
13300,0.0008732285,0.00086959725,-7.346525,2.612975,0.07970117,2.966006,2.4759288,2.612589,0.077332534,2.9724436,2.497043,2.6095438,0.075450785,3.0238264,2.4649248,-4.7383943,0.36669454,-3.964431,-5.992131,0.003066862,0.013039149,0.032549776,-0.019877356,-0.10197178,0.0062285373,-0.082650125,-0.11710959,0.04972779005765915,-35.21743392944336,13300,27,500.0,0.0,500,500,0.017726768444309444,0.039030599431887116,0.2893933690023382,6.447046493749139e-06,8.863384222154721,10.010080361323993,26.631317620012762,0.4674757767640887,0.0060985116,0.5962789,0.99858665,-0.9977718,5,8.863384222154721,10000,20,500.0,0.0,500,500,0.005788291393203416,0.002584538431236824,0.012017623885173467,0.0013695557315273178,2.8941456966017087,0.4903616327462314,3.663688510299815,2.1260051238520696,2.8941456966017087,0.4903616327462314,3.663688510299815,2.1260051238520696,0.0027270704,0.012559599,0.027104983,-0.016144738,5,2.8941456966017087,0.02296428009867668,72.9205309767276,74.81298619695008,0.02011207863688469,0.005645927041769028,1105.905332872644,1253.687572332099,5000.558958273381,3
15800,0.0007554407,0.00082788826,-7.3568983,2.5872607,0.071647614,2.9810767,2.4097805,2.5855336,0.07352033,2.9697747,2.421113,2.582815,0.07405611,2.9884455,2.4005642,-4.773815,0.39179274,-3.788219,-5.8149486,0.00282611,0.045739185,0.114260755,-0.23422474,-0.07364113,0.009637906,-0.042247698,-0.114971265,0.01830757036805153,-47.088687896728516,15800,32,500.0,0.0,500,500,0.004278790432017622,0.011519639423078347,0.14693844967223504,2.4042329746818166e-07,2.1393952160088103,1.7270957019651092,5.143723415127577,0.18942742890086958,-0.0007853051,0.6040678,0.9979806,-0.9995812,5,2.1393952160088103,12500,25,500.0,0.0,500,500,0.004989044113930973,0.006976312475354673,0.02997826423518256,5.585395504128756e-09,2.494522056965488,0.6570443081864179,3.3743741583097995,1.478272518612497,2.494522056965488,0.6570443081864179,3.3743741583097995,1.478272518612497,-0.0003149512,0.06264721,0.12822281,-0.27012798,5,2.494522056965488,0.024577800184488297,73.69074101187289,76.42743028514087,0.020174888893961906,0.005764588713645935,1098.327867463231,1248.496556038037,6249.058803651482,4
18300,0.0008989178,0.0012915446,-7.1092987,2.5576339,0.078172185,2.8813436,2.2971425,2.5578945,0.07853944,2.9030557,2.325355,2.5493288,0.07217397,2.9164786,2.3377035,-4.553276,0.8001423,-1.7003827,-6.218646,-0.006217698,0.17076002,0.65531313,-0.4541687,-0.028541112,0.028211325,0.06720553,-0.09701359,0.006767741870135069,-57.70403289794922,18300,37,500.0,0.0,500,500,0.010153781350418426,0.024045346495972723,0.23171316788954543,7.585785333219519e-10,5.0768906752092136,1.9942210514439758,6.97400315557976,1.2697109397157318,0.009232299,0.6279209,0.99961984,-0.9991411,5,5.0768906752092136,15000,30,500.0,0.0,500,500,0.006887898647073985,0.008386913798394277,0.03521177222244449,1.9512248162890778e-08,3.443949323536993,1.724347404641156,5.622856208831695,0.868507368866187,3.443949323536993,1.724347404641156,5.622856208831695,0.868507368866187,-0.013361324,0.12535591,0.57391155,-0.52695507,5,3.443949323536993,0.028272833675146103,76.47644007578492,78.98117089085281,0.020531490445137024,0.005629219114780426,1072.9600712489337,1228.4721157588065,7477.534315994009,5
20800,0.00038873183,0.00047693253,-5.926512,2.544725,0.1245702,3.1796513,2.2516758,2.5398257,0.12422165,3.172123,2.2413058,2.5483263,0.12453503,3.2131364,2.2150803,-3.3824778,1.9415393,4.1973248,-8.653871,-0.028370064,0.5604098,1.7377319,-2.0155482,0.004031104,0.10645123,0.26027936,-0.44161323,0.0026057155337184668,-61.766807556152344,20800,42,500.0,0.0,500,500,0.0132189642125255,0.041396918245921475,0.2840292043926227,7.91822903541591e-11,6.609482106262753,13.032506193617456,32.67436031377776,0.044811652719510084,-0.031575277,0.66139394,0.9996289,-0.9996793,5,6.609482106262753,17500,35,500.0,0.0,500,500,0.00041871209079011865,0.0018161943716201317,0.014315647108809552,1.816867643987684e-12,0.20935604539505928,0.22381006732484876,0.6552053934170943,0.06477632519477343,0.20935604539505928,0.22381006732484876,0.6552053934170943,0.06477632519477343,-0.056742825,0.35767916,0.93972725,-0.9713025,5,0.20935604539505928,0.034519417211413383,76.3630204629153,77.27662888169289,0.021404791623353958,0.0049713850021362305,1077.5627287700772,1231.2632737085223,8708.80110293813,6
23300,0.000406642,0.0004333743,-2.3341322,2.5090892,0.12375528,3.2518299,2.2216508,2.5100884,0.1269983,3.266799,2.19587,2.5102215,0.12725839,3.3184922,2.176071,0.18298809,3.7581348,14.319834,-7.176391,-5.836838e-05,1.0978175,2.3129652,-3.1418362,-0.13323043,0.21839993,0.44646743,-0.7919761,0.0011830823495984077,-45.93982696533203,23300,47,500.0,0.0,500,500,0.011002049032398004,0.030461279175144847,0.2537397504831125,7.59885981298996e-13,5.501024516199001,7.2597246138848455,19.446480670173226,0.058401655953797794,-0.04845209,0.7030795,0.9999288,-0.9999987,5,5.501024516199001,20000,40,500.0,0.0,500,500,0.0029983632795138153,0.013289829869673996,0.15201018373857594,6.674787414142871e-08,1.4991816397569067,1.9169621921177868,5.314270115528636,0.28268437218823883,1.4991816397569067,1.9169621921177868,5.314270115528636,0.28268437218823883,-0.06565127,0.579511,0.99992263,-0.9999804,5,1.4991816397569067,0.020994754508137703,75.42122937552631,77.77895983867347,0.021195288747549057,0.005481434985995293,1091.488116595894,1244.7359772883356,9953.54146607779,7
25800,0.00060768815,0.00056152523,1.1497284,2.5181708,0.13366044,3.323699,2.2119467,2.5127678,0.13482842,3.311306,2.208493,2.5071855,0.12779692,3.214427,2.2374856,3.6781955,4.831141,19.312538,-5.306094,-0.057830494,1.4039278,3.1461658,-2.8351443,-0.24087241,0.2405024,0.4281664,-0.97710735,0.0006993985734879971,-24.13237953186035,25800,52,500.0,0.0,500,500,0.002954413495975794,0.00893825304403056,0.13606259506231605,6.546220355908695e-12,1.4772067479878976,1.7243159924350524,4.828552781209442,0.13223163092658105,-0.027343199,0.6980201,0.999786,-0.9995018,5,1.4772067479878976,22500,45,500.0,0.0,500,500,0.0011379013670288773,0.005433677024830396,0.0733732266909794,5.0324682692664486e-12,0.5689506835144383,0.5750100839569322,1.692692990157196,0.14434973971982143,0.5689506835144383,0.5750100839569322,1.692692990157196,0.14434973971982143,-0.024311358,0.5525473,0.99987155,-0.99862117,5,0.5689506835144383,0.023060360923409462,74.15555929206312,76.28671573288739,0.021335551515221596,0.006092939525842667,1086.4024234861135,1236.8951873630285,11190.440922085196,8
28300,0.0004868568,0.0006286529,2.7217906,2.512838,0.17157912,3.218227,2.1837265,2.5154362,0.17375001,3.1989017,2.1877196,2.5145154,0.16873792,3.2481258,2.1861427,5.2453346,6.051398,25.68278,-6.3060446,-0.09925462,1.564889,3.6495872,-3.8857446,-0.30169943,0.23928364,0.5548955,-0.95187783,0.0005073988577350974,-13.310894012451172,28300,57,500.0,0.0,500,500,0.017851418940340834,0.02414932899872733,0.16627600990804012,3.61789460676418e-06,8.925709470170416,5.662839699724936,15.86404794733528,3.357134519189922,0.0034941223,0.6762988,0.9998041,-0.9997394,5,8.925709470170416,25000,50,500.0,0.0,500,500,0.018821776745985657,0.03529689906149461,0.30166101281250574,1.0691505458737538e-09,9.41088837299283,4.576191076696867,16.648697258178487,3.1047539753671205,9.41088837299283,4.576191076696867,16.648697258178487,3.1047539753671205,0.043206453,0.63724035,0.99906063,-0.9935433,5,9.41088837299283,0.02518514357507229,74.19278357550502,76.64275274425745,0.019862229004502296,0.005701778456568718,1036.5152978803962,1187.4015833511949,12377.84667836316,9
