replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,7.580253,7.599321,-2.659718,-0.0012204895,0.0011896687,0.0015355677,-0.0046773655,-0.004705126,0.0011594974,-0.0014614882,-0.008674268,2.7232985,0.39662743,3.5008998,1.6654557,-2.6642725,0.4385673,-1.5293417,-3.4755826,-0.0002995805,0.0010871054,0.001826632,-0.0033207447,0.00030987995,0.0012171562,0.0028050484,-0.0032052964,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.03608594287198941,0.03722679780115579,0.20398382684063093,0.0005032441922843134,18.04297143599471,9.217332048115182,26.483849831048015,2.0599263761015516,0.0031323656,0.62802577,0.99865097,-0.99906,5,18.04297143599471,2500,5,500.0,0.0,500,500,0.005153928907578084,0.00046872041401450416,0.0057724518049787985,0.004212504848267172,2.5769644537890426,0.23371993143152972,2.759676159317921,2.1176161022505426,2.5769644537890426,0.23371993143152972,2.759676159317921,2.1176161022505426,-1.9242489e-05,0.00096694595,0.0013802998,-0.00190706,5,2.5769644537890426,0.020813051611185074,74.51081495545805,86.68596551381052,0.021892471238970757,0.006283784285187721,57.74261490255594,218.98838467895985,339.2002094015479,0
8300,0.009692058,0.009940742,-4.4355807,1.7079214,0.046540283,1.8258531,1.4671457,1.7066883,0.043790426,1.8150406,1.4850773,1.7095599,0.10399422,2.1626875,1.4740657,-2.7329426,0.24855147,-1.9619704,-3.9851806,-0.0005181028,0.015563082,0.021346428,-0.033115827,-0.11400877,0.0057057524,-0.100197956,-0.13223009,0.3673844039440155,-6.7352752685546875,8300,17,500.0,0.0,500,500,0.021413990283398868,0.035560825780319,0.17519769544324454,3.250082957118039e-05,10.706995141699437,11.860068408860148,28.145589238248604,0.23461945927814948,-0.0074497736,0.5935953,0.9978611,-0.9992191,5,10.706995141699437,5000,10,500.0,0.0,500,500,0.0038516992925568465,0.002076332198425182,0.00827540530108406,0.000793550834315858,1.925849646278423,0.39987434080204765,2.3704158789671914,1.399765552225392,1.925849646278423,0.39987434080204765,2.3704158789671914,1.399765552225392,-0.0018584923,0.018696748,0.020832915,-0.031434428,5,1.925849646278423,0.02153131179511547,72.44126784056425,83.12834352999926,0.02006879821419716,0.005812756717205048,56.7326682228595,212.34969246014953,551.553493866697,1
10800,0.0023670995,0.0022621802,-4.3731966,1.6330978,0.06921458,1.78247,1.4466484,1.6308541,0.06768204,1.7750647,1.448403,1.6257045,0.080858916,1.8473568,1.4422579,-2.7466364,0.18581256,-2.3072221,-3.6654065,-0.0050709755,0.00549303,0.008127966,-0.015025503,-0.129053,0.0067145377,-0.11222297,-0.14756641,0.1351328045129776,-13.496626853942871,10800,22,500.0,0.0,500,500,0.01574257561697304,0.01601081655697242,0.0983314123611397,0.00011819830850281734,7.871287808486525,2.2412676790033346,10.003491927141159,3.964432835696881,-0.00223774,0.5888272,0.9960366,-0.9961632,5,7.871287808486525,7500,15,500.0,0.0,500,500,0.016623955584526767,0.00788954938724369,0.039487127247356923,0.005207435968202981,8.311977792263383,1.3377550783014465,10.468309281619415,6.666249697623855,8.311977792263383,1.3377550783014465,10.468309281619415,6.666249697623855,-0.0049442127,0.006887358,0.009715269,-0.015164961,5,8.311977792263383,0.02065039612352848,75.63342251628637,85.42942617274821,0.01958942599594593,0.0070492662489414215,54.53825516812503,215.64839294552803,767.2050025910139,2
13300,0.00044540263,0.00047132382,-4.336048,1.6113293,0.093238086,1.824416,1.4264866,1.6093583,0.09211902,1.8240266,1.4402958,1.6111178,0.09555776,1.9083135,1.4307027,-2.7304454,0.2480238,-2.1244206,-3.529415,-0.012515597,0.028180229,0.033342615,-0.053867273,-0.122443825,0.004464215,-0.10565797,-0.1343031,0.049718186259269714,-20.193925857543945,13300,27,500.0,0.0,500,500,0.0441564037020255,0.05681886858543734,0.2980405577403816,0.0005151875683150466,22.078201851012757,16.751687417174335,45.0034803093764,5.976707772034495,-0.008056309,0.59553856,0.99841446,-0.99604493,5,22.078201851012757,10000,20,500.0,0.0,500,500,0.021580255277264253,0.01069306946937839,0.048733378582150974,0.004464251813606829,10.790127638632121,3.585774814385123,17.26600290235389,6.80341597374727,10.790127638632121,3.585774814385123,17.26600290235389,6.80341597374727,-0.012101388,0.029402569,0.029344179,-0.049961846,5,10.790127638632121,0.022792873904109,79.59386274032295,83.24980342946947,0.018430296331644058,0.005008324980735779,54.0662528090179,216.9561504740268,984.1643635351211,3
15800,0.00026363236,0.0002920625,-4.367979,1.6517854,0.124558374,1.9863464,1.4519271,1.6525946,0.12150815,1.991214,1.4382027,1.6513743,0.12338977,2.056005,1.4408829,-2.7204537,0.31944153,-1.8665117,-3.2364833,-0.038127795,0.11155095,0.27852052,-0.22277856,-0.1170043,0.011820898,-0.08827608,-0.15350622,0.018320653587579727,-26.8732967376709,15800,32,500.0,0.0,500,500,0.07549975793058115,0.054845431400566524,0.2520042293289363,0.0038069144554149716,37.749878965290584,17.350784977732637,60.96501712828956,12.150956720430422,-0.023704164,0.59697795,0.9981477,-0.99774873,5,37.749878965290584,12500,25,500.0,0.0,500,500,0.04457458898680952,0.020123319000677185,0.07691317407836987,0.004524477866961233,22.287294493404758,8.588705459456943,33.451673978934,9.832703311342359,22.287294493404758,8.588705459456943,33.451673978934,9.832703311342359,-0.04381729,0.067184746,0.14406487,-0.20121029,5,22.287294493404758,0.025030475109815598,83.91290658898652,87.21954599022865,0.03929503634572029,0.00836210697889328,60.491700392216444,231.69684058986604,1215.8651771694422,4
18300,0.0020834254,0.0013156473,-3.928742,1.7171341,0.24193583,2.528746,1.4168913,1.7162888,0.2304008,2.4644191,1.4186931,1.7112677,0.22718585,2.6364143,1.4153398,-2.209337,1.0664575,0.7720728,-5.680789,-0.18314211,0.40680432,1.054017,-0.9742506,-0.1402418,0.054470945,-0.012222238,-0.33279258,0.006919019855558872,-30.87619400024414,18300,37,500.0,0.0,500,500,0.18057182250396978,0.0776803136540173,0.44653018256424576,0.003992578232447919,90.28591125198488,13.137614844644123,107.35770409976041,75.07777971345962,-0.10879224,0.5937933,0.9970585,-0.9987949,5,90.28591125198488,15000,30,500.0,0.0,500,500,0.05803053528540162,0.026199295412952267,0.11995583409185097,0.003848274481694829,29.015267642700802,12.15499891250648,52.54590555730456,19.45943461270791,29.015267642700802,12.15499891250648,52.54590555730456,19.45943461270791,-0.033921342,0.27816847,0.38163078,-0.703511,5,29.015267642700802,0.020354317501187325,110.63355467841029,96.09812813997269,0.020187590271234512,0.005782583728432655,59.21400201506913,265.99200932495296,1481.8640094120055,5
20800,0.002549561,0.0012671851,-2.2875803,1.8283836,0.3149599,2.5073018,1.3613718,1.8128409,0.30130965,2.4150739,1.3788773,1.8230748,0.31024617,2.41634,1.3766218,-0.46357423,2.0601628,5.5028954,-5.3527107,-0.19107828,0.85723776,2.0105314,-1.8432333,-0.2581478,0.13781536,-0.04187447,-0.72530466,0.0029512280598282814,-25.99925994873047,20800,42,500.0,0.0,500,500,0.15806330788280515,0.10309873653467272,0.45070153462545337,0.0037638893577446194,79.03165394140257,47.345653377909585,154.11896409575573,15.951669299696032,-0.1297571,0.6086253,0.99658203,-0.9991083,5,79.03165394140257,17500,35,500.0,0.0,500,500,0.19873155687197677,0.1331639857918896,0.4708038002660532,0.004139989550948877,99.3657784359884,62.50298082597912,157.5461665068239,18.81981994369,99.3657784359884,62.50298082597912,157.5461665068239,18.81981994369,-0.14408566,0.3630702,0.9051531,-0.9378378,5,99.3657784359884,0.018538059666752815,96.05264934152365,101.21853336133063,0.02019045501947403,0.005861107259988785,47.11232394166291,244.4280962664634,1726.2955316342413,6
23300,0.000684593,0.0007679168,0.4016375,1.92043,0.3474119,2.6816266,1.3845407,1.9232858,0.35052264,2.7249017,1.39692,1.9215486,0.34885705,2.6866724,1.4037365,2.343629,2.9160128,9.819886,-4.4172087,-0.26939195,1.3463364,2.4113762,-2.4128873,-0.44126266,0.18668978,0.22055687,-0.9435408,0.0015803973656147718,-10.68295669555664,23300,47,500.0,0.0,500,500,0.18343930212932327,0.06546276247734276,0.42695423095657764,0.005219022177581412,91.71965106466165,28.061321537088357,147.1144259617032,69.98053396622568,-0.20406958,0.64658767,0.9974782,-0.99964345,5,91.71965106466165,20000,40,500.0,0.0,500,500,0.26428265539468165,0.07697388655197189,0.41006462605313304,0.005475620007801613,132.14132769734096,31.166832767392137,177.0158036708748,85.06573512598115,132.14132769734096,31.166832767392137,177.0158036708748,85.06573512598115,-0.18230921,0.5566853,0.98578066,-0.98643893,5,132.14132769734096,0.016252487897872925,97.41844639368355,99.19196282699704,0.02020602487027645,0.005936024710536003,53.8343368396163,250.48714059777558,1976.7855992969126,7
25800,0.0022005707,0.0067639705,1.0312128,2.109908,0.53369147,3.4295132,1.3542136,2.1377726,0.56082,3.665179,1.3858615,2.109016,0.52168447,3.3330324,1.3782076,3.1673787,2.9124944,10.211288,-2.7859538,-0.4226359,1.4660336,2.5605154,-3.1963608,-0.49468857,0.18929072,0.16136734,-1.012066,0.0011053577763959765,-5.667972087860107,25800,52,500.0,0.0,500,500,0.1731383784670419,0.09717504309722758,0.40027149453048827,0.0014710627270918665,86.56918923352092,44.570783573556604,119.72352603960614,4.498038446992805,-0.13894422,0.7351244,0.99849385,-0.9996609,5,86.56918923352092,22500,45,500.0,0.0,500,500,0.21045697961090432,0.08285849673032906,0.3878661514889009,0.0047527756158923665,105.22848980545218,32.71762813734081,143.5282432456019,58.684871879015304,105.22848980545218,32.71762813734081,143.5282432456019,58.684871879015304,-0.10608472,0.6243681,0.98987824,-0.9900568,5,105.22848980545218,0.017522752285003662,97.19530279375613,102.83050775900483,0.018695276230573654,0.005627846345305443,47.30244289524853,247.37009932287037,2224.158617665991,8
28300,0.0012354027,0.0013504036,2.2419462,2.1580625,0.53819466,3.5555613,1.3893639,2.1596441,0.53722197,3.554458,1.4041257,2.158082,0.53694284,3.5379722,1.3744209,4.424501,2.9463918,13.354497,-3.341045,-0.3933254,1.6097739,2.8217719,-2.9893193,-0.5969317,0.23292795,0.0016468093,-1.5356492,0.0010283851297572255,2.920541763305664,28300,57,500.0,0.0,500,500,0.21472715374790788,0.07312325991928431,0.45212417779706804,0.005469243780101607,107.36357687395392,30.599174172799135,149.21521012461236,72.83285380275751,-0.19874756,0.71402776,0.99807245,-0.9993972,5,107.36357687395392,25000,50,500.0,0.0,500,500,0.2318899187906443,0.09371213109529335,0.5219689914671236,0.00491738819120376,115.94495939532212,40.99987068596926,196.78421618204757,85.8560613591801,115.94495939532212,40.99987068596926,196.78421618204757,85.8560613591801,-0.14054556,0.7062951,0.9943894,-0.9969607,5,115.94495939532212,0.017333107069134712,97.75426757521927,105.95050743035972,0.019825395196676254,0.005923094227910042,50.3050674572587,254.05292405933142,2478.2152054049075,9
